year,team,win_pct,fg3_pct,ts_pct,fta,ast,oefg_pct,otov_pct,mov
2018,ATL,0.172,0.37,0.537,20.2,22.1,0.529,14.1,-5.8
2018,BOS,0.704,0.374,0.549,20.1,20.6,0.489,13.1,2.9
2018,BRK,0.296,0.344,0.546,22.0,23.0,0.521,10.8,-5.5
2018,CHO,0.333,0.371,0.537,25.7,21.0,0.535,12.6,-2.0
2018,CHI,0.25,0.356,0.535,20.7,22.6,0.546,11.4,-8.6
2018,CLE,0.483,0.375,0.581,22.9,22.2,0.532,11.5,0.0
2018,DAL,0.25,0.362,0.546,17.7,22.2,0.558,13.3,-5.6
2018,DEN,0.321,0.36,0.547,19.8,21.9,0.552,12.8,-4.8
2018,DET,0.346,0.366,0.532,18.2,22.1,0.538,14.1,-3.1
2018,GSW,0.759,0.384,0.605,21.8,29.6,0.504,11.8,6.9
2018,HOU,0.75,0.368,0.59,23.2,21.6,0.524,13.1,8.7
2018,IND,0.481,0.366,0.559,17.9,22.3,0.538,13.3,-0.3
2018,LAC,0.5,0.353,0.555,23.4,21.1,0.519,12.8,-0.6
2018,LAL,0.31,0.344,0.542,24.4,22.6,0.529,12.4,-6.4
2018,MEM,0.192,0.359,0.549,21.1,20.2,0.531,12.8,-5.9
2018,MIA,0.5,0.362,0.553,19.5,22.8,0.499,11.9,-0.4
2018,MIL,0.464,0.351,0.562,23.0,22.0,0.529,14.1,-1.3
2018,MIN,0.4,0.358,0.567,23.6,21.8,0.553,13.7,-0.9
2018,NOP,0.533,0.364,0.56,22.5,24.4,0.499,11.5,0.0
2018,NYK,0.226,0.335,0.534,19.2,23.7,0.537,11.4,-8.2
2018,OKC,0.448,0.364,0.533,21.8,21.8,0.526,13.9,1.4
2018,ORL,0.233,0.366,0.559,20.5,24.5,0.538,11.9,-5.2
2018,PHI,0.444,0.37,0.567,24.3,24.4,0.501,12.0,-2.0
2018,PHO,0.31,0.338,0.537,24.9,22.2,0.545,11.4,-8.4
2018,POR,0.5,0.369,0.542,21.5,19.1,0.497,11.3,0.3
2018,SAC,0.313,0.378,0.521,16.7,21.3,0.548,13.5,-9.2
2018,SAS,0.419,0.339,0.525,21.0,21.3,0.497,12.4,0.0
2018,TOR,0.586,0.355,0.579,23.4,23.1,0.507,13.4,5.2
2018,UTA,0.387,0.382,0.556,20.1,22.0,0.533,13.2,-2.5
2018,WAS,0.533,0.369,0.548,22.1,24.3,0.519,13.0,-0.6
